"","date","objects","weights_lbs"
"1",2018-08-12,"raisin",19.75
"2",2018-08-12,"simone",10.875
"3",2018-08-12,"gagne",10.625
"4",2018-08-12,"std",NA
"5",2018-08-19,"raisin",20.1875
"6",2018-08-19,"simone",11.125
"7",2018-08-19,"gagne",10.75
"8",2018-08-19,"std",20.9875
"9",2018-08-22,"raisin",20.25
"10",2018-08-22,"simone",11.25
"11",2018-08-22,"gagne",10.8125
"12",2018-08-22,"std",20.975
"13",2018-08-24,"raisin",19.8125
"14",2018-08-24,"simone",11.25
"15",2018-08-24,"gagne",11.0625
"16",2018-08-24,"std",20.975
"17",2018-08-27,"raisin",19.375
"18",2018-08-27,"simone",10.5
"19",2018-08-27,"gagne",10.375
"20",2018-08-27,"std",20.975
"21",2018-08-28,"raisin",NA
"22",2018-08-28,"simone",NA
"23",2018-08-28,"gagne",NA
"24",2018-08-28,"std",NA
"25",2018-08-29,"raisin",19.375
"26",2018-08-29,"simone",11
"27",2018-08-29,"gagne",11.0625
"28",2018-08-29,"std",20.975
"29",2018-08-30,"raisin",NA
"30",2018-08-30,"simone",NA
"31",2018-08-30,"gagne",NA
"32",2018-08-30,"std",NA
"33",2018-08-31,"raisin",19.5625
"34",2018-08-31,"simone",11
"35",2018-08-31,"gagne",10.75
"36",2018-08-31,"std",20.975
"37",2018-09-01,"raisin",NA
"38",2018-09-01,"simone",NA
"39",2018-09-01,"gagne",NA
"40",2018-09-01,"std",NA
"41",2018-09-02,"raisin",19.625
"42",2018-09-02,"simone",10.8125
"43",2018-09-02,"gagne",10.625
"44",2018-09-02,"std",20.975
"45",2018-09-03,"raisin",19.5
"46",2018-09-03,"simone",10.9375
"47",2018-09-03,"gagne",10.8125
"48",2018-09-03,"std",20.975
"49",2018-09-04,"raisin",19.5625
"50",2018-09-04,"simone",11
"51",2018-09-04,"gagne",10.9375
"52",2018-09-04,"std",20.975
"53",2018-09-05,"raisin",19.5
"54",2018-09-05,"simone",11.125
"55",2018-09-05,"gagne",11
"56",2018-09-05,"std",20.975
"57",2018-09-06,"raisin",19.4375
"58",2018-09-06,"simone",11
"59",2018-09-06,"gagne",10.6875
"60",2018-09-06,"std",20.975
"61",2018-09-07,"raisin",19.375
"62",2018-09-07,"simone",11.0625
"63",2018-09-07,"gagne",11.125
"64",2018-09-07,"std",20.975
"65",2018-09-08,"raisin",19.4375
"66",2018-09-08,"simone",11.25
"67",2018-09-08,"gagne",10.9375
"68",2018-09-08,"std",20.975
"69",2018-09-09,"raisin",19.5
"70",2018-09-09,"simone",11.125
"71",2018-09-09,"gagne",10.8125
"72",2018-09-09,"std",20.975
"73",2018-09-10,"raisin",19.4375
"74",2018-09-10,"simone",11.125
"75",2018-09-10,"gagne",10.8125
"76",2018-09-10,"std",20.975
"77",2018-09-11,"raisin",19.5
"78",2018-09-11,"simone",10.9375
"79",2018-09-11,"gagne",11
"80",2018-09-11,"std",20.975
"81",2018-09-12,"raisin",19.5
"82",2018-09-12,"simone",11.0625
"83",2018-09-12,"gagne",11
"84",2018-09-12,"std",20.975
"85",2018-09-13,"raisin",19.4375
"86",2018-09-13,"simone",11.1875
"87",2018-09-13,"gagne",11
"88",2018-09-13,"std",20.975
"89",2018-09-14,"raisin",19.625
"90",2018-09-14,"simone",11.0625
"91",2018-09-14,"gagne",11.0625
"92",2018-09-14,"std",20.975
"93",2018-09-15,"raisin",19.5
"94",2018-09-15,"simone",NA
"95",2018-09-15,"gagne",NA
"96",2018-09-15,"std",20.975
"97",2018-09-16,"raisin",19.5625
"98",2018-09-16,"simone",11
"99",2018-09-16,"gagne",11.0625
"100",2018-09-16,"std",20.975
"101",2018-10-01,"raisin",19
"102",2018-10-01,"simone",10.25
"103",2018-10-01,"gagne",10.25
"104",2018-10-01,"std",NA
"105",2018-10-02,"raisin",19.375
"106",2018-10-02,"simone",11
"107",2018-10-02,"gagne",10.75
"108",2018-10-02,"std",20.975
"109",2018-10-03,"raisin",19
"110",2018-10-03,"simone",10.625
"111",2018-10-03,"gagne",10.1875
"112",2018-10-03,"std",20.975
"113",2018-10-04,"raisin",18.9375
"114",2018-10-04,"simone",10.5625
"115",2018-10-04,"gagne",10.25
"116",2018-10-04,"std",20.975
"117",2018-10-09,"raisin",19.625
"118",2018-10-09,"simone",10.625
"119",2018-10-09,"gagne",10.6875
"120",2018-10-09,"std",20.975
"121",2018-10-10,"raisin",19.125
"122",2018-10-10,"simone",10.6875
"123",2018-10-10,"gagne",10.6875
"124",2018-10-10,"std",20.975
"125",2018-10-11,"raisin",19.125
"126",2018-10-11,"simone",10.6875
"127",2018-10-11,"gagne",10.5625
"128",2018-10-11,"std",20.975
"129",2018-10-12,"raisin",19.0625
"130",2018-10-12,"simone",10.625
"131",2018-10-12,"gagne",10.6875
"132",2018-10-12,"std",20.975
"133",2018-10-13,"raisin",19.3125
"134",2018-10-13,"simone",10.5625
"135",2018-10-13,"gagne",10.6875
"136",2018-10-13,"std",20.975
"137",2018-10-14,"raisin",19.0625
"138",2018-10-14,"simone",10.5625
"139",2018-10-14,"gagne",10.6875
"140",2018-10-14,"std",20.975
"141",2018-10-15,"raisin",19.25
"142",2018-10-15,"simone",NA
"143",2018-10-15,"gagne",NA
"144",2018-10-15,"std",NA
"145",2018-10-16,"raisin",18.8125
"146",2018-10-16,"simone",10.6875
"147",2018-10-16,"gagne",10.6875
"148",2018-10-16,"std",20.975
"149",2018-10-17,"raisin",18.9375
"150",2018-10-17,"simone",10.8125
"151",2018-10-17,"gagne",10.8125
"152",2018-10-17,"std",20.975
"153",2018-10-18,"raisin",18.875
"154",2018-10-18,"simone",10.75
"155",2018-10-18,"gagne",10.8125
"156",2018-10-18,"std",20.975
"157",2018-10-22,"raisin",NA
"158",2018-10-22,"simone",10.25
"159",2018-10-22,"gagne",10.3125
"160",2018-10-22,"std",NA
"161",2018-10-23,"raisin",18.5
"162",2018-10-23,"simone",10.5
